基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立时间,自定义,手续费
005669,前海开源公用事业股票,2021-09-07,3.2722,3.2722,1.95,-0.86,3.23,67.19,114.64,203.57,208.41,237.93,96.95,227.22,2018-03-23,192.8936,1.50%
002296,长城行业轮动混合A,2021-09-07,2.8805,2.8805,2.38,-2.58,6.60,63.86,114.40,116.60,145.17,170.14,98.74,188.05,2016-01-12,115.3169,1.50%
000689,前海开源新经济混合A,2021-09-07,3.2801,3.3901,2.48,-1.21,1.76,64.91,109.46,148.12,218.77,258.87,94.32,260.49,2014-08-20,136.7247,1.50%
006736,国投瑞银先进制造混合,2021-09-07,5.2038,5.2038,2.71,-1.65,17.13,79.09,104.87,155.53,347.91,,88.09,420.38,2019-01-25,152.1876,1.50%
007689,国投瑞银新能源混合A,2021-09-07,3.9780,4.0480,2.72,-1.78,17.74,79.37,103.63,157.46,,,90.36,324.26,2019-11-18,154.1842,1.50%
001704,国投瑞银进宝灵活配置混合,2021-09-07,5.1164,5.1414,2.57,-0.69,16.54,78.80,103.48,140.22,313.91,488.30,82.95,424.37,2015-08-26,136.0204,1.50%
007690,国投瑞银新能源混合C,2021-09-07,3.9496,4.0196,2.72,-1.78,17.71,79.19,103.23,156.45,,,89.85,321.25,2019-11-18,153.1979,
000209,信诚新兴产业混合A,2021-09-07,5.6674,5.6674,3.26,-3.21,7.42,55.48,98.72,179.60,325.16,402.43,95.90,466.74,2013-07-17,169.5116,1.50%
167001,平安鼎泰混合(LOF),2021-09-07,2.4459,2.4459,3.08,-2.29,12.90,70.62,91.68,130.03,227.39,274.91,81.86,144.59,2016-07-21,126.1074,1.50%
005927,创金合信新能源汽车股票A,2021-09-07,3.9319,3.9319,3.06,-3.34,6.91,58.61,91.24,178.17,304.35,301.05,82.21,293.19,2018-05-08,163.1199,1.50%
005928,创金合信新能源汽车股票C,2021-09-07,3.8384,3.8384,3.06,-3.35,6.85,58.34,90.57,176.24,298.92,292.43,81.35,283.84,2018-05-08,161.3170,
001298,金鹰民族新兴混合,2021-09-07,4.4320,4.4320,2.62,-4.93,3.50,51.94,90.05,153.84,276.87,388.11,93.71,343.20,2015-06-02,145.2463,1.50%
009644,东方阿尔法优势产业混合A,2021-09-07,2.4237,2.4237,2.98,-2.66,6.04,52.36,89.26,148.74,,,84.69,142.37,2020-06-28,,1.50%
009645,东方阿尔法优势产业混合C,2021-09-07,2.4094,2.4094,2.97,-2.67,5.99,52.17,88.78,147.50,,,84.06,140.94,2020-06-28,,
400015,东方新能源汽车混合,2021-09-07,4.7379,5.1979,4.26,-1.05,1.94,43.97,88.34,170.03,326.65,332.72,68.76,531.73,2011-12-28,152.1372,1.50%
590003,中邮核心优势灵活配置混合,2021-09-07,3.5540,3.7340,3.04,3.46,16.60,64.46,86.56,102.74,159.99,182.06,80.22,318.76,2009-10-28,95.3794,1.50%
000828,泰达转型机遇股票A,2021-09-07,3.8130,4.0330,3.84,-3.30,0.95,42.06,85.28,151.68,274.93,451.81,69.02,358.19,2014-11-18,142.5082,1.20%
167002,平安鼎越混合(LOF),2021-09-07,3.3614,3.3614,3.27,-2.21,12.74,65.64,85.02,119.70,222.19,302.90,76.37,236.14,2016-09-20,115.3987,1.50%
005076,创金合信优选回报灵活配置混合,2021-09-07,1.6534,2.2904,3.01,-3.71,7,59.32,83.88,71.86,168.87,195.68,61.75,172.29,2017-09-27,62.4889,1.20%
006154,华安制造先锋混合A,2021-09-07,4.4637,4.4637,2.08,-2.42,6.14,53.21,83.69,98.09,181.50,,66.80,346.37,2018-12-25,93.7073,1.50%
011146,创金气候变化责任投资股票A,2021-09-07,1.7802,1.7802,2.81,-3.59,6.72,58.69,82.73,,,,75.74,78.02,2020-12-30,68.75,1.50%
011147,创金气候变化责任投资股票C,2021-09-07,1.7754,1.7754,2.81,-3.59,6.69,58.53,82.37,,,,75.26,77.54,2020-12-30,68.3,
010135,泰达高研发6个月持有混合A,2021-09-07,1.4670,1.4670,4.09,-1.77,0.24,41.34,81.25,,,,53.90,46.70,2020-09-24,40.47,1.50%
010136,泰达高研发6个月持有混合C,2021-09-07,1.4629,1.4629,4.08,-1.78,0.21,41.25,80.96,,,,53.59,46.29,2020-09-24,40.08,
003567,华夏行业景气混合,2021-09-07,3.8019,3.8019,1.68,0.86,2.39,40.63,79.96,113.53,204.20,288.15,72.79,280.19,2017-02-04,107.3575,1.50%
005939,工银新能源汽车混合A,2021-09-07,4.5077,4.5077,3.16,-2.31,2.33,42.62,79.73,151.85,296.04,,62.40,350.77,2018-11-14,140.0827,1.50%
040015,华安动态灵活配置混合,2021-09-07,5.06,5.6730,1.52,-2.17,5.81,50.55,79.69,97.12,180.64,257.85,66.50,679.45,2009-12-22,93.1048,1.50%
001933,华商新兴活力混合,2021-09-07,2.7340,2.7340,2.36,-1.87,1.64,51.89,79.40,73.48,193.03,203.44,55.96,173.40,2016-02-25,67.0685,1.50%
005940,工银新能源汽车混合C,2021-09-07,4.4171,4.4171,3.16,-2.32,2.29,42.47,79.37,150.84,292.60,,61.95,341.71,2018-11-14,139.1277,
162201,泰达宏利成长混合,2021-09-07,2.6688,5.0653,4.34,-1.84,1.75,40.23,78.81,47.46,103.74,198,58.61,1890.94,2003-04-25,40.0983,1.50%
001245,工银生态环境股票,2021-09-07,2.8780,2.8780,3.12,-2.61,2.82,59.18,77.22,133.98,283.22,387.80,60.87,187.80,2015-06-02,125.6911,1.50%
001822,华商智能生活灵活配置混合,2021-09-07,2.8260,2.8260,2.35,-2.48,0.78,48.04,75.42,72,197.47,244.63,53.92,182.60,2015-11-13,66.1595,1.50%
008279,国泰中证煤炭ETF联接A,2021-09-07,2.3044,2.3044,4.25,5.30,30.26,45.44,75.37,110.39,,,80.89,130.44,2020-01-16,98.0279,1.00%
008280,国泰中证煤炭ETF联接C,2021-09-07,2.2935,2.2935,4.25,5.29,30.22,45.33,75.10,109.78,,,80.52,129.35,2020-01-16,97.4664,
168204,中融中证煤炭指数(LOF),2021-09-07,1.7310,1.7310,4.59,5.16,31.24,46.32,75.03,108.72,99.94,106.35,77.72,30.98,2015-06-25,95.5790,
002190,农银新能源主题,2021-09-07,4.3759,4.3759,4.99,0.48,1.79,39.95,74.62,137.28,362.96,417.06,56.90,337.59,2016-03-29,119.1628,1.50%
004925,长信低碳环保行业量化股票A,2021-09-07,2.9608,2.9608,5.36,0.77,2.30,41.58,74.58,132.42,237.22,276.17,57.66,196.08,2017-11-09,114.1769,1.50%
009651,海富通成长甄选混合A,2021-09-07,1.8545,1.8545,2.76,-5.66,5.06,63.85,74.52,,,,64.38,85.45,2020-09-27,82.25,1.50%
610004,信达澳银中小盘混合,2021-09-07,4.5920,4.5920,1.82,-4.53,11.38,58.18,74.40,109.30,183.11,311.47,63.53,359.20,2009-12-01,103.7375,1.50%
009652,海富通成长甄选混合C,2021-09-07,1.8475,1.8475,2.76,-5.66,5.02,63.68,74.18,,,,63.93,84.75,2020-09-27,81.57,
001569,泰信国策驱动灵活配置混合,2021-09-07,2.5470,2.5470,2.74,-1.24,5.16,40.56,73.62,110.15,268.60,304.29,61.71,154.70,2015-10-27,103.6304,1.50%
004745,长盛创新驱动灵活配置混合,2021-09-07,3.1166,3.1166,2.85,-4.44,-1.90,46.30,72.32,141.69,253.56,267.31,58.13,211.66,2017-08-16,132.4699,1.50%
700003,平安策略先锋混合,2021-09-07,6.1150,6.2150,2.46,-0.62,6.50,50.99,72.25,98.60,208.37,323.18,63.81,569.09,2012-05-29,95.9727,1.50%
004390,平安转型创新混合A,2021-09-07,3.4835,3.5735,2.51,-1.03,6.77,50.29,71.82,98.48,200.38,302.90,62.85,279.27,2017-04-14,96.3649,1.50%
161032,富国中证煤炭指数(LOF)A,2021-09-07,1.8850,1.3130,4.20,4.55,31.18,43.67,71.68,108.16,102.26,125.81,77.50,31.33,2015-06-19,96.3402,
009147,建信新能源行业股票,2021-09-07,2.8140,2.8140,2.97,-1.86,5.12,47.61,71.54,158.45,,,62.79,181.40,2020-06-17,150.6521,1.50%
002258,大成国企改革灵活配置混合,2021-09-07,3.5170,3.5170,1.79,2.60,18.94,48.33,71.48,107,219.73,308,80.64,251.70,2017-09-21,99.9411,1.50%
004391,平安转型创新混合C,2021-09-07,3.3945,3.4795,2.51,-1.04,6.69,50,71.13,96.91,195.56,296.32,61.97,267.97,2017-04-14,94.8315,
310368,申万菱信竞争优势混合,2021-09-07,3.3268,4.3428,4.51,4.68,17.51,49.75,71.06,100.42,169.22,245.89,64.34,581.16,2008-07-04,90.9332,1.50%
110025,易方达资源行业混合,2021-09-07,1.8990,1.8990,3.49,-0.63,20.04,61.62,70.93,99.27,122.63,113.61,63.99,89.90,2011-08-16,92.2350,1.50%
210003,金鹰行业优势混合,2021-09-07,3.8322,4.2222,2.39,-2.55,7.84,42.47,70.52,106.50,216.50,282.34,67.87,422.51,2009-07-01,101.0561,1.50%
610006,信达澳银产业升级混合,2021-09-07,3.87,4.34,2.14,-5.15,10.89,54.24,70.41,114.40,203.05,272.47,65.67,453.11,2011-06-13,107.4238,1.50%
161724,招商中证煤炭等权指数(LOF),2021-09-07,1.8138,1.2890,4.56,4.77,30.94,41.58,69.07,110.13,113.09,119.72,66.77,37.17,2015-05-20,97.6637,1.00%
002083,新华鑫动力灵活配置混合A,2021-09-07,3.4896,3.4896,3.09,-1.53,-0.25,33.87,68.78,140.33,274.02,356.16,50.09,248.96,2016-06-08,125.6474,1.00%
002084,新华鑫动力灵活配置混合C,2021-09-07,3.4691,3.4691,3.09,-1.54,-0.27,33.83,68.69,140.08,273.42,354.67,49.98,246.91,2016-06-08,125.4118,0.00%
005634,汇安行业龙头混合,2021-09-07,2.5821,2.5821,2.71,-1.01,2.38,43.53,68.16,86.49,158.29,,53.56,158.21,2019-08-28,77.2209,1.50%
005821,万家新机遇龙头企业混合,2021-09-07,2.8271,3.1871,2.80,0.53,14.12,41.84,67.11,98.48,190.81,258.21,80.82,232.92,2018-05-25,92.6991,1.50%
000496,长安产业精选混合A,2021-09-07,2.3315,2.5715,3.41,-2.66,-3.21,37.93,66.52,97.57,86.19,117.51,53.08,190.95,2014-05-07,86.4927,1.50%
006233,万家汽车新趋势混合A,2021-09-07,3.1294,3.1294,0.84,-1.29,2.38,34.46,66.18,87.46,,,57.03,212.94,2019-10-23,84.7730,1.50%
002071,长安产业精选混合C,2021-09-07,2.2748,2.3248,3.40,-2.67,-3.25,37.75,66.10,96.60,84.31,113.58,52.56,130.07,2015-11-16,85.5847,
006234,万家汽车新趋势混合C,2021-09-07,3.1002,3.1002,0.84,-1.31,2.33,34.28,65.76,86.51,,,56.49,210.02,2019-10-23,83.8648,
398051,中海环保新能源混合,2021-09-07,3.0920,3.19,2.76,-1.15,0,42.40,65.61,127.96,257.50,301.13,51.94,222.11,2010-12-09,119.3326,1.50%
162202,泰达宏利周期混合,2021-09-07,3.9857,6.0307,3.27,-0.91,5.66,44.33,65.29,110.52,197.33,265.63,55.17,2052.46,2003-04-25,102.7571,1.50%
010412,汇安均衡优选混合,2021-09-07,1.3617,1.3617,2.84,-1.26,1.70,41.49,65.29,,,,,36.17,2021-02-09,29.12,1.50%
010805,东财新能源车A,2021-09-07,1.6113,1.6113,3.28,0.35,-2.65,33.54,65.24,,,,53.02,61.13,2020-12-16,49.64,1.20%
009913,中信保诚成长动力,2021-09-07,1.6183,1.6183,2.08,1.33,3.39,42.27,65.15,,,,51.90,61.83,2020-09-09,55.38,1.50%
010806,东财新能源车C,2021-09-07,1.6067,1.6067,3.28,0.34,-2.68,33.41,64.91,,,,52.61,60.67,2020-12-16,49.21,
003834,华夏能源革新股票A,2021-09-07,4.1330,4.1330,3.43,-2.36,3.17,29.76,64.33,166.47,312.89,410.88,52.90,313.30,2017-06-07,155.1257,1.50%
011102,天弘中证光伏产业指数A,2021-09-07,1.4603,1.4603,2.06,-3.50,6.58,59.11,64.21,,,,,46.03,2021-01-28,45.22,1.00%
011103,天弘中证光伏产业指数C,2021-09-07,1.4586,1.4586,2.06,-3.49,6.58,59.04,64.05,,,,,45.86,2021-01-28,45.05,
580006,东吴新经济混合A,2021-09-07,2.0931,2.4831,2.85,-4.68,-0.63,26.99,64.04,85.26,133.87,176.50,49.79,190.05,2009-12-30,78.1377,1.50%
398021,中海能源策略混合,2021-09-07,1.6132,1.9232,3.27,1.96,4.82,48.75,63.98,94.55,133.05,160.70,62.28,135.62,2007-03-13,86.2398,1.50%
005037,银华新能源新材料A,2021-09-07,2.4103,2.4103,2.49,-3.43,0.60,39.63,63.27,115.84,208.30,267.98,54.79,141.01,2017-09-15,107.6834,1.50%
005038,银华新能源新材料C,2021-09-07,2.3691,2.3691,2.48,-3.44,0.56,39.49,62.93,114.98,205.77,263.30,54.38,136.89,2017-09-15,106.8693,
550009,信诚中小盘混合,2021-09-07,5.5690,5.6990,2.47,-2.47,-2.14,37.40,61.70,93.17,241.24,325.76,57.05,529.24,2010-02-10,86.0909,1.50%
168401,红土创新转型精选灵(LOF),2021-09-07,3.1666,3.1666,1.57,1.23,-1.94,36.26,61.61,79.34,145.32,223.39,44.20,216.66,2016-12-30,74.5767,1.50%
519183,万家双引擎灵活配置混合,2021-09-07,3.0437,3.7337,5.09,0.37,25.57,43.34,61.50,64.56,105.52,121.88,50.34,436.57,2008-06-27,57.5151,1.50%
005296,南华丰淳混合A,2021-09-07,2.5050,2.5050,3.91,-3.06,-5.48,5.84,61.25,83.53,148.71,193.36,57.39,150.50,2017-12-26,73.9908,1.20%
005119,银华智荟内在价值灵活配置,2021-09-07,2.6637,2.6637,2.23,-3.14,3.19,34.69,61.11,96.76,173.23,263.55,50.44,166.37,2017-09-28,90.9809,1.50%
010008,中融成长优选混合A,2021-09-07,1.5898,1.5898,2.26,0.97,7.38,43.76,60.98,,,,50.78,58.98,2020-11-18,51.52,1.50%
005297,南华丰淳混合C,2021-09-07,2.4197,2.4197,3.91,-3.06,-5.52,5.74,60.97,82.85,146.81,187.48,57.01,141.97,2017-12-26,73.3545,
006250,上投摩根动力精选混合A,2021-09-07,3.7526,3.7526,3.39,-3.01,-0.90,37.30,60.86,119.01,236.50,,47.28,275.26,2019-01-29,112.8925,1.50%
001279,中海积极增利混合,2021-09-07,2.9320,2.9320,1.84,-4.03,-0.37,39.02,60.83,81.10,180.31,279.79,58.74,193.20,2015-05-20,76.7140,1.50%
010009,中融成长优选混合C,2021-09-07,1.5773,1.5773,2.26,0.95,7.32,43.47,60.34,,,,49.71,57.73,2020-11-18,50.35,
501057,汇添富中证新能源汽车A,2021-09-07,3.2115,3.2115,3.15,-0.42,-2.92,33.51,60.14,131.63,264.16,282.87,50.28,221.15,2018-05-23,115.8240,1.20%
005368,富国清洁能源产业混合A,2021-09-07,2.6901,2.6901,2.29,-3.82,4.16,43.22,60.08,95.70,,,47.61,168.98,2020-03-06,90.4190,1.50%
210008,金鹰策略配置混合,2021-09-07,3.6337,4.2337,3.07,-2.92,2.74,35.23,60.03,119.61,246.13,253.75,60.76,421.53,2011-09-01,110.5403,1.50%
165516,信诚周期轮动混合(LOF),2021-09-07,6.8020,7.9410,3.39,-0.44,7.97,29.61,60.01,101.38,247.80,371.72,50.62,874.89,2012-05-07,94.8118,1.50%
501058,汇添富中证新能源汽车C,2021-09-07,3.1815,3.1815,3.14,-0.43,-2.94,33.42,59.94,131.05,262.32,279.97,50.02,218.15,2018-05-23,115.2941,
000126,招商安润混合,2021-09-07,4.2287,4.5727,1.57,0.81,0.45,29.62,59.92,89.21,230.68,309.76,54.93,468.34,2013-04-19,80.9432,1.50%
007555,中航瑞明纯债A,2021-09-07,1.6356,1.6356,0,0.03,0.09,0.39,59.90,63.02,,,60.42,63.54,2020-04-10,62.9921,0.60%
011127,富国清洁能源产业混合C,2021-09-07,2.6805,2.6805,2.28,-3.83,4.11,43.01,59.61,,,,,44.91,2021-01-15,41.004433,
011328,景顺长城新能源产业股票A,2021-09-07,1.5766,1.5766,2.23,0.39,0.87,33.24,59.30,,,,,57.66,2021-02-22,51.06,1.50%
011329,景顺长城新能源产业股票C,2021-09-07,1.5758,1.5758,2.24,0.40,0.86,33.20,59.22,,,,,57.58,2021-02-22,50.98,
161028,富国中证新能源汽车指数(LOF)A,2021-09-07,1.5540,1.6440,3.26,0.39,-2.69,31.58,58.41,123.15,256.76,277.68,46.47,136.93,2015-03-30,107.3539,1.20%
003853,金鹰信息产业股票A,2021-09-07,4.4750,4.8115,2.92,-0.16,-1.24,26.80,58.15,103.99,231.33,388.63,45.43,397.06,2017-03-10,93.3709,1.20%
519702,交银趋势混合A,2021-09-07,4.4477,4.9477,1.39,0.44,12.86,36.06,58.11,62.56,178.85,269.72,66.27,546.02,2010-12-22,59.4042,1.50%
004784,招商稳健优选股票,2021-09-07,3.3396,3.3396,1.54,1,0.46,30.36,58.01,83.71,213.70,336.49,53.23,233.96,2017-09-20,75.9503,1.50%
006533,易方达科融混合,2021-09-07,3.3201,3.3201,1.78,-1.29,7.73,43.40,57.93,82.57,192.98,,58.99,232.01,2019-03-26,79.2301,1.50%
005977,中信保诚至兴混合A,2021-09-07,2.8611,2.8611,2.78,-0.14,5.25,41.54,57.91,102.47,175.29,185.45,53.53,186.11,2018-06-27,96.5395,1.50%
005885,金鹰信息产业股票C,2021-09-07,4.4662,4.7847,2.92,-0.17,-1.28,26.67,57.83,103.18,228.93,382.99,45.03,373.10,2018-04-18,92.6133,
001487,宝盈优势产业混合A,2021-09-07,3.6638,3.8138,1.05,1.09,5.38,31.18,57.72,86.74,180.11,295.23,89.05,317.50,2015-08-25,83.3843,1.50%
002666,前海开源沪港深创新成长混合A,2021-09-07,2.3730,2.4530,3.85,2.64,30.67,45.67,57.67,55.91,83.81,97.02,54.90,154.45,2016-06-24,48.3574,1.50%
008640,方正富邦科技创新A,2021-09-07,2.5813,2.5813,3.45,-3.01,-0.74,37.37,57.60,114.98,,,48.76,158.13,2020-01-21,102.9649,1.50%
002667,前海开源沪港深创新成长混合C,2021-09-07,2.34,2.42,3.86,2.63,30.73,45.61,57.58,55.69,83.39,96.40,54.76,151.04,2016-06-24,48.1038,1.50%
011188,信达澳银星奕混合A,2021-09-07,1.5290,1.5290,2.46,0.10,2.27,39.32,57.39,,,,,52.90,2021-01-22,46.89,1.50%
009067,国泰中证新能源汽车ETF联接A,2021-09-07,2.9050,2.9050,3.18,0.22,-2.54,30.49,57.36,121.93,,,46.85,190.50,2020-04-03,106.8373,1.00%
008641,方正富邦科技创新C,2021-09-07,2.5698,2.5698,3.45,-3.01,-0.77,37.27,57.35,114.44,,,48.45,156.98,2020-01-21,102.4533,
001471,融通新能源灵活配置混合,2021-09-07,3.1260,3.2460,2.73,-3.55,2.12,43.13,57.24,61.47,174.93,230.10,44.52,247.66,2015-06-29,56.9215,1.50%
005978,中信保诚至兴混合C,2021-09-07,2.7851,2.7851,2.78,-0.16,5.18,41.26,57.24,100.83,170.79,178.23,52.66,178.51,2018-06-27,94.9740,
001156,申万菱信新能源汽车混合,2021-09-07,2.9050,3.4950,3.23,-1.74,0.97,35.06,57.17,118.87,274.10,343.53,45.82,251.28,2015-05-07,108.8447,1.50%
009068,国泰中证新能源汽车ETF联接C,2021-09-07,2.8930,2.8930,3.17,0.22,-2.57,30.39,57.12,121.26,,,46.54,189.30,2020-04-03,106.2256,
011223,信达澳银星奕混合C,2021-09-07,1.5215,1.5215,2.46,0.09,2.21,39.05,56.76,,,,,52.15,2021-01-22,46.18,
010963,信达澳银周期动力混合,2021-09-07,1.5912,1.5912,1.29,5.37,21.12,44.21,56.69,,,,59.12,59.12,2020-12-30,54.41,1.50%
009855,中加新兴成长混合A,2021-09-07,1.7143,1.7143,2.91,-4.41,5.04,29.67,56.61,,,,52.54,71.43,2020-09-17,68.94,1.20%
009856,中加新兴成长混合C,2021-09-07,1.7061,1.7061,2.91,-4.41,5,29.54,56.29,,,,52.13,70.61,2020-09-17,68.13,
006281,万家人工智能混合,2021-09-07,3.4897,3.4897,3.17,-0.16,3.48,35.98,55.86,102.74,220.63,,55.21,248.97,2019-01-25,95.6138,1.50%
006348,银华盛利混合发起式,2021-09-07,3.8192,3.8192,2.39,-0.84,5.59,39.23,55.82,88.09,191.23,,52.63,281.92,2018-12-13,81.9650,1.50%
009511,信达澳银研究优选混合,2021-09-07,1.5633,1.5633,2.40,0.04,2.12,39.20,55.12,54.69,,,50.48,56.33,2020-06-22,48.7136,1.50%
519005,海富通股票混合,2021-09-07,1.6740,3.6230,2.70,-4.94,5.55,53.30,55,61.43,108.47,146.90,40.44,619.43,2005-07-29,58.3414,1.50%
001809,中信建投智信物联网A,2021-09-07,3.0763,3.0763,2.30,-4.73,7.08,46.74,54.85,73.47,169.19,243.41,47.94,207.63,2016-08-03,69.7643,1.50%
008009,华商高端装备制造股票,2021-09-07,2.7899,2.7899,2,-0.80,0.31,39.18,54.80,89.62,,,45.92,178.99,2019-12-10,82.3014,1.50%
008085,海富通先进制造股票A,2021-09-07,1.6279,1.6279,2.48,-6.17,5.03,56.77,54.74,59.61,,,36.01,62.79,2019-12-17,56.8781,1.50%
001532,华安文体健康混合A,2021-09-07,4.1390,4.1390,2.73,2.02,8.07,29.38,54.61,99.28,224.63,329.36,65.03,313.90,2017-06-08,91.9596,1.50%
